key,en [English],sw [Swahili],ha [Hausa],yo [Yoruba],fr [French],ar [Arabic]
update_shara.title,Update Shara,Sasisha shara,Sabunta shara,,,
update_shara.description,A new version of the app is now available. Update now see what’s new,Toleo jipya la programu sasa linapatikana. Sasisha sasa uone kilichotekea,Ansaki sabon launin manhajar. Yi maza ka sabunta naka yanzu,,,
update_shara.submit_button,Update Now,Sasisha sasa,Sabuntawa yanzu,,,
next,Next,Fuatayo,Na Gaba,,,
send,Send,Tuma,Aika,,,
skip,Skip,Ruka,Tsallake,,,
get_started,Get Started,Anza,Farawa,,,
login.heading,Get Started For Free,Anza bure,Farawa kyauta,,,
login.subheading,Log in to auto-backup and sync your data securely,Ingia kwenye akaunti kiotomatiki na usawazishe data yako salama,Shiga ciki don adana bayanan kai tsaye ka kuma daidaita bayanan ka lafiya,,,
login.login_button,Next,Ifuatayo,Na Gaba,,,
login.forgot_password,Forgot your password?,Umesahau neno siri yako?,Manta lambar sirri,,,
register.header,Sign up,Jiandikishe,Yi rejista,,,
register.heading,Get Started For Free,Anza bure,Farawa kyauta,,,
register.subheading,Sign up and enjoy all the features available on Shara. It only takes a few moments.,Jiandikishe na ufurahie huduma zote zinapatikana. Inachukua muda mfupi tu,Yi rijista domin ku mori tsarukan da ake da su a shara. Yana daukan kankanin loakcine kawai.,,,
register.submit_button,Sign Up,Jiandikishe,Yi rijista,,,
register.have_account,Already have an account?,Tayari unayo akaunti,Ina da rijista,,,
register.sign_in,Sign In,Jiandikishe,shiga,,,
otp.heading,OTP,OTP,OTP,,,
otp.subheading,"We’ve sent a one-time password to mobile number **{{mobile}}**, check your SMS or Whatsapp and enter it below.",Kichwa kidogo cha OTP,"Muntura OTP, duba cikin sakon wayar ka ko whatsapp dinka sai kashigar da it anan",,,
otp.otp_resent,OTP RESENT,OTP imerudishwa,A sake tura OTP,,,
otp.otp_button,Get Started,Anza,Farawa,,,
otp.resend_text,Didn't receive the code?,Hukupokea nambari hiyo,Ban samu lambar ba,,,
otp.resend_button,Resend Code,Tuma tena nambari,Sake turo wata lambar,,,
forgot_password.heading,Forgot your password?,Umesahau nambari yako ya siri,Manta lambar sirri,,,
forgot_password.subheading,Enter your mobile number to receive your OTP,Ingiza nambari yako kupokea OTP,Shigar da lambar wayarka domin samun OTP,,,
forgot_password.fp_button,Submit,Wasilisha,Turawa,,,
reset_password.header,Reset your password,Weka upya namba yako ya siri,Sake seta lambar sirri,,,
reset_password.heading,Reset your password,Weka upya namba yako ya siri,Sake seta lambar sirri,,,
reset_password.password_match,Passwords do not match,Namba yako ya siri hazilingani,lambar sirri bata zo iri daya ba,,,
reset_password.submit_button,submit,Wasilisha,Turawa,,,
reset_password.otp_label,OTP,OTP,OTP,,,
reset_password.password_label,Enter you new password,Ingiza namba yako mpya ya siri,Sanya sabuwar lambar sirri,,,
reset_password.repeat_password_label,Enter your password again,Ingiza namba yako ya siri tena,sake sanya lambar sirri,,,
fields.phone.label,What's your phone number?,Namba yako ya simu ni ipi,Lambar waya,,,
fields.phone.placeholder,Enter your number,Weka number yako,Kusanya lambar ku,,,
fields.password.label,Enter your password,Eka namba yako ya siri,Sanya lambar sirri,,,
fields.confirm_password.label,Confirm password,Thibitisha namba yako ya siri,Tabbatar da lambar sirri,,,
fields.name.label,Name,Jina,Suna,,,
alert.minimum_phone_digits,Number should be minimum of 5 digits,Nambaro inapaswa kuwa na kiwango cha chini cha tarakilimu,lambar kar ta wuce guda biyar,,,
alert.error,Error,Kosa,Kuskure,,,
alert.select_country,Please select a country,Tafadhali chagua nchi,Zabi Kasa,,,
alert.password_match,Passwords must match,Namba yako ya siri inapaswa kufanana,Dole lambar sirri tazo iri daya,,,
alert.required.number,Number is required,Nambari inahitajika,Ana bukatar lamba,,,
alert.required.password,Password is required,Namba ya siri inahitajika,Ana bukatar lambar sirri,,,
alert.required.otp,OTP is required,OTP inahitajika,Ana bukatar OTP,,,
alert.something_went_wrong,Oops! Something went wrong.,Kuna kitu kimeenda vibaya,Oops! Akwai abun daya faru,,,
alert.feedback_validation,Minimum of 25 charaters allowed,Kima cha chini cha makaratasi 25 huruhusiwa,Mafi karancin harufa 25 aka yarda asaka,,,
alert.feedback_is_empty,Message cannot be empty,Ujumbe hauwezi kuwa tupu,Sako bazai zama fanko ba,,,
alert.clear_app_data,Try clearing app data from application settings,Jaribu kufuta data ya programu kutoka kwa mipangilio ya programu,Gwada share bayanan manhajar daga cikin saitin aikace aikace,,,
alert.ok,OK,Sawa,Yayi,,,
alert.sync.title,Sync in progress,Usawazishaji unaendelea,Ana kan daidaita aiki,,,
alert.sync.description,We are syncing your data across the Shara app. This might take a few seconds.,Tunasawazisha data yako kwenye programu ya Shara.Hii itachukua sekunde chache.,Ana kan daidaita bayananku zuwa sassan manhajar shara. zai dan dauki lokaci,,,
alert.api.fallbackError,Oops! Something unexpected happened.,Kitu kisichotarajiwa kimetokea,Oops! Akwai abun daya faru cikin rashin tsammani,,,
alert.api.auth.otp.welcomeBack,Welcome back to Shara. We've sent an OTP to your mobile number,Karibu tena Shara tumetuma OTP kwa nambari yako ya rununu,Barka da dawowa shara. Mun turo OTP zuwa lambar wayar ka,,,
alert.api.auth.otp.welcome,Welcome to Shara. We've sent an OTP to your mobile number,Karibu tena kwa Shara .Tumetuma OTP kwa nambari yako ya rununu,Barka da shigowa shara. Mun turo OTP zuwa lambar wayar,,,
